地名,センター,プラスチック,ペットボトル,びん,かん,雑誌・雑紙,紙パック,段ボール,新聞,古着・古布,可燃ごみ,不燃ごみ,有害ごみ
西片倉１〜３丁目,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
西寺方町,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
弐分方町（松子舞団地）,収集地区13,木,隔水20140115,隔金20140117,隔金20140110,隔月20140113,隔月20140113,隔月20140113,隔水20140115,隔金20140117,月 木,隔火20140107,隔火20140107
弐分方町（松子舞団地を除く）,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
狭間町,収集地区11,水,隔火20140107,隔木20140109,隔木20140116,隔金20140110,隔金20140110,隔金20140110,隔水20140108,隔木20140109,火 金,隔月20140113,隔月20140113
八幡町,収集地区19,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140108,隔月20140106,火 金,隔水20140115,隔水20140115
初沢町,収集地区10,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140108,隔木20140116,火 金,隔月20140106,隔月20140106
東浅川町,収集地区11,水,隔火20140107,隔木20140109,隔木20140116,隔金20140110,隔金20140110,隔金20140110,隔水20140108,隔木20140109,火 金,隔月20140113,隔月20140113
東中野,収集地区10,水,隔火20140114,隔木20140116,隔木20140109,隔金20140117,隔金20140117,隔金20140117,隔水20140108,隔木20140116,火 金,隔月20140106,隔月20140106
兵衛１〜２丁目,収集地区2,月,隔金20140110,隔火20140107,隔火20140114,隔水20140108,隔水20140108,隔水20140108,隔水20140115,隔火20140107,月 木,隔木20140116,隔木20140116
日吉町,収集地区15,木,隔水20140108,隔金20140110,隔金20140117,隔月20140106,隔月20140106,隔月20140106,隔水20140108,隔金20140110,火 金,隔火20140114,隔火20140114
平岡町,収集地区19,金,隔木20140109,隔月20140106,隔月20140113,隔火20140107,隔火20140107,隔火20140107,隔水20140108,隔月20140106,火 金,隔水20140115,隔水20140115
